tweet,label
Sanki Boğaziçi mezunlarının bokunda boncuk var .Hep iş görüşmelerine onlar çağırılıyor 🤒,1
Boğaziçi Üniversitesi Taş Oda Festivali'nde herkes çimlerde. Okulun müzik grupları akustik çalıyorlar sahnede. İçmekteyiz bizlerde :),1
Boğaziçi Üniversitesi'nde tiyatroya devam etseydim bugün ünlü Alevi bir aktör olacaktım; bol bol Yezit Arap hayranlarımı sikecektim,1
#FahriyeEvcen Bu mekteb-i şahane'den mezun olduğum icin ne kadar şansliyim anlatamam.☺🍀🍀🍀🌾🌺🌳🌷 #BoğaziçiUniversitesi pic.twitter.com/9iyiUv8wX7,1
@bkenes  in de Bogazici mezunu oldugunu canli yayında dinledim. Artık kendisini sevmek için bir sebebim daha var :),1
"@tolgatibet78 yani hem Boğaziçi Üniversitesi mezunu,Teksas Üniversitesin'de yüksek lisans yapmış, Çapa'da lösemili çocuklarla çalışmış demek",1
@Arslan157 @bayrak25 @EmreUslu @yasintopcu06 babamin gemicikleride yokki bana özel hoca tutsun.Nasil olucak bogazici hayali söyle bakalim?,1
Boğaziçi İnşaat da yazıyorum hayırlısıyla 😄,1
Ben: anne ben ceo olcam boğaziçi okuyuppAnnem: hyr doktor olcaksın,1
@Yalepred neye para yetmiyormuş ya mevzu mu kaçırdım ben? hazırlıkta bi hocam vardı çok sevdim onu o yüzden bogazici number1,1
sırf kazandığım üniversiteyi buraya yazmak için çalışıyorum düşünsenize Boğaziçi Üniversitesi yazmışım duyurularını retweetlemişim falan,1
Bilkent senden umitliyim sen bari yüz üstü bırakma BestCoupleEver HiLeon,1
Hocalarım odtu diyor idi ailem bogazici ben agü dedim niye bi düşün otur bunu bi düşün ya,1
@UkalaMars boğaziçi mezunu olup öğretmenlik yapan varmıymış amk alskjbdakşsjb,1
"@zeynepceylan Bogazici Uluslararasi iliskiler mezunu, doktorali bir uzmanin seviyesini herkes cetvelle olcebilir mi?",1
@bisusarmisin @abizaten hahahah ya dogru ama yasasin bogazici :(,1
Hedef boğaziçi,1
